anio,sexo,entidad,casos_proteccion_atendidos,fecha
2022,mujer,Chihuahua,1.0,2022-01-01
2023,hombre,Chihuahua,1.0,2023-01-01
2023,mujer,Chihuahua,,2023-01-01
2024,hombre,Chihuahua,1.0,2024-01-01
2024,mujer,Chihuahua,,2024-01-01
2025,hombre,Chihuahua,,2025-01-01
2025,mujer,Chihuahua,,2025-01-01
2010,hombre,Ciudad de México,6.0,2010-01-01
2010,mujer,Ciudad de México,5.0,2010-01-01
2011,hombre,Ciudad de México,8.0,2011-01-01
2011,mujer,Ciudad de México,0.0,2011-01-01
2012,hombre,Ciudad de México,12.0,2012-01-01
2012,mujer,Ciudad de México,7.0,2012-01-01
2013,hombre,Ciudad de México,7.0,2013-01-01
2013,mujer,Ciudad de México,2.0,2013-01-01
2014,hombre,Ciudad de México,8.0,2014-01-01
2014,mujer,Ciudad de México,2.0,2014-01-01
2015,hombre,Ciudad de México,9.0,2015-01-01
2015,mujer,Ciudad de México,5.0,2015-01-01
2016,hombre,Ciudad de México,7.0,2016-01-01
2016,mujer,Ciudad de México,3.0,2016-01-01
2017,hombre,Ciudad de México,15.0,2017-01-01
2017,mujer,Ciudad de México,6.0,2017-01-01
2018,hombre,Ciudad de México,5.0,2018-01-01
2018,mujer,Ciudad de México,8.0,2018-01-01
2019,hombre,Ciudad de México,5.0,2019-01-01
2019,mujer,Ciudad de México,4.0,2019-01-01
2020,hombre,Ciudad de México,5.0,2020-01-01
2020,mujer,Ciudad de México,3.0,2020-01-01
2021,hombre,Ciudad de México,16.0,2021-01-01
2021,mujer,Ciudad de México,4.0,2021-01-01
2022,hombre,Ciudad de México,11.0,2022-01-01
2022,mujer,Ciudad de México,6.0,2022-01-01
2023,hombre,Ciudad de México,16.0,2023-01-01
2023,mujer,Ciudad de México,10.0,2023-01-01
2024,hombre,Ciudad de México,18.0,2024-01-01
2024,mujer,Ciudad de México,7.0,2024-01-01
2025,hombre,Ciudad de México,,2025-01-01
2025,mujer,Ciudad de México,3.0,2025-01-01
2010,hombre,Coahuila,,2010-01-01
2010,mujer,Coahuila,,2010-01-01
2011,hombre,Coahuila,2.0,2011-01-01
2011,mujer,Coahuila,0.0,2011-01-01
2012,hombre,Coahuila,0.0,2012-01-01
2012,mujer,Coahuila,2.0,2012-01-01
2013,hombre,Coahuila,,2013-01-01
2013,mujer,Coahuila,,2013-01-01
2014,hombre,Coahuila,,2014-01-01
2014,mujer,Coahuila,,2014-01-01
2015,hombre,Coahuila,1.0,2015-01-01
2015,mujer,Coahuila,0.0,2015-01-01
2016,hombre,Coahuila,2.0,2016-01-01
2016,mujer,Coahuila,0.0,2016-01-01
2017,hombre,Coahuila,,2017-01-01
2017,mujer,Coahuila,,2017-01-01
2018,hombre,Coahuila,1.0,2018-01-01
2018,mujer,Coahuila,0.0,2018-01-01
2019,hombre,Coahuila,3.0,2019-01-01
2019,mujer,Coahuila,0.0,2019-01-01
2020,hombre,Coahuila,2.0,2020-01-01
2020,mujer,Coahuila,,2020-01-01
2021,hombre,Coahuila,,2021-01-01
2021,mujer,Coahuila,,2021-01-01
2022,hombre,Coahuila,,2022-01-01
2022,mujer,Coahuila,,2022-01-01
2023,hombre,Coahuila,,2023-01-01
2023,mujer,Coahuila,,2023-01-01
2024,hombre,Coahuila,,2024-01-01
2024,mujer,Coahuila,,2024-01-01
2025,hombre,Coahuila,,2025-01-01
2025,mujer,Coahuila,,2025-01-01
2010,hombre,Colima,,2010-01-01
2010,mujer,Colima,,2010-01-01
2011,hombre,Colima,1.0,2011-01-01
2011,mujer,Colima,0.0,2011-01-01
2012,hombre,Colima,2.0,2012-01-01
2012,mujer,Colima,0.0,2012-01-01
2013,hombre,Colima,,2013-01-01
2013,mujer,Colima,,2013-01-01
2014,hombre,Colima,,2014-01-01
2014,mujer,Colima,,2014-01-01
2015,hombre,Colima,1.0,2015-01-01
2015,mujer,Colima,0.0,2015-01-01
2016,hombre,Colima,,2016-01-01
2016,mujer,Colima,,2016-01-01
2017,hombre,Colima,0.0,2017-01-01
